ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageover	Averagenormal	Medianover	Mediannormal
has-miR-548o	0.40299341674889	0.155243400919768	0.546631352094544	0.284000177313132	0.776410244759162	NA	normal_vs_over	NA	0.426773193112897	0.370760948242766	0	0
has-miR-548x	1.39910341400001	0.292181242987381	0.461422515549966	0.633218434603548	0.526591009018151	NA	normal_vs_over	NA	1.45876946947157	1.30470839541665	0	0
hsa-let-7a-2-3p	0.571676519906555	-0.534718604597181	0.416301295418464	-1.2844509745272	0.19898420692576	NA	normal_vs_over	NA	0.473880150078238	0.718863367925936	0	0
hsa-let-7a-3p	254.332365401458	0.893507288465383	0.297013526167034	3.00830504252151	0.0026270929892904	0.0571803208450238	normal_vs_over	FALSE	325.319922916661	228.793226351958	19.0478308731826	11.4625259244728
hsa-let-7a-5p	13.8627278999385	0.141609515670324	0.257533480810288	0.549868371385237	0.582409659293698	0.809677300794533	normal_vs_over	FALSE	16.0322730471635	10.8253287963672	6.98381464410546	5.01676091194564
hsa-let-7b-3p	0.429341321836001	-0.208562865922381	0.687775914004114	-0.303242468478088	0.761705086551592	NA	normal_vs_over	NA	0.563303186399199	0.276572937658533	0	0
hsa-let-7b-5p	152.757680824003	0.986234271101572	0.314120394439428	3.13966965711214	0.00169138444541468	0.041335061973029	normal_vs_over	TRUE	208.321699252985	114.827148654045	13.2719507923825	8.39622496913457
hsa-let-7c-3p	3.5566221701984	-0.0150589665249429	0.31608287833335	-0.0476424620161212	0.962001190638281	0.98085394501216	normal_vs_over	FALSE	4.34203201422416	2.8719579817536	0.147737948075273	0.449738557037359
hsa-let-7c-5p	12.3059017929074	0.559844915540081	0.320588996278418	1.74630109591746	0.0807586455478857	0.31076462223261	normal_vs_over	FALSE	16.0620113230508	8.75584421320973	3.32379946175436	1.77255820052519
hsa-let-7d-3p	3.09203413699431	0.321719485195447	0.356249644469673	0.903073140393926	0.366487078183483	NA	normal_vs_over	NA	3.57514170027924	2.92483046047802	1.60265120801844	0.492524762018449
