ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_modAct	Average_inactive	Average_modInact	Median_modAct	Median_inactive	Median_modInact
hsa-let-7a-2-3p	0.562876085633188	0.605243156329893	0.436585094805943	1.38631200086873	0.165651653930106	NA	modInact_vs_inactive	NA	0.381815524934495	0.402867348868631	0.889261393969124	0	0	0
hsa-let-7a-3p	537.845674841454	0.805863510429363	0.329822916210198	2.44332176699263	NA	NA	modInact_vs_inactive	NA	46.236077301425	28.2343055734919	1475.56191735074	14.3947031965405	15.2456481543312	21.2995608552745
hsa-let-7a-5p	14.253716496382	0.519676297498681	0.271287395660228	1.91559322626823	0.0554168924408977	0.295163732078824	modInact_vs_inactive	FALSE	10.5838686731041	13.1451570244864	19.2513545627078	4.83294029086618	4.15228239906743	8.10009436673245
hsa-let-7b-3p	0.472399670651828	0.852361904270758	0.67607623125338	1.26074821871871	0.207399575298051	NA	modInact_vs_inactive	NA	0.279088546664206	0.271652328549979	0.842865036471612	0	0	0
hsa-let-7b-5p	321.057731259428	1.26358213499972	0.34307342447937	3.68312450000248	NA	NA	modInact_vs_inactive	NA	34.5475737183595	24.1191705332883	867.608395634062	9.06352512859902	12.165099131561	15.2611176704849
hsa-let-7c-3p	4.02114454436268	-0.00922332203996011	0.373389492169696	-0.0247016111416664	0.980292969968568	0.990847941381419	modInact_vs_inactive	FALSE	3.86460007956449	2.93387784545827	5.01239974525752	0	0.364527897454914	0.534447855622228
hsa-let-7c-5p	23.8050067293618	0.99300945117031	0.341427963576901	2.90840105996957	NA	NA	modInact_vs_inactive	NA	5.31008858398191	4.65854677674575	59.0649616838981	2.98780896382574	2.62356558784401	2.94580766445683
hsa-let-7d-3p	4.89419156909436	-0.038720460204655	0.381792738163749	-0.101417487380412	0.91921905512415	0.968889137401034	modInact_vs_inactive	FALSE	2.36904581553256	4.5794553624695	7.99161390207228	0.881942487028445	0.738858438763927	1.61081574730507
hsa-let-7d-5p	61.8068070467631	1.00591176825456	0.351483050504605	2.86190690222595	NA	NA	modInact_vs_inactive	NA	7.34960858900027	4.67501563859451	166.197947504041	3.34114338072032	2.70251843766618	4.23754343423465
hsa-let-7e-3p	0.077900208162606	0.108561674071807	1.4178140379408	0.0765697553887106	0.938965819997803	NA	modInact_vs_inactive	NA	0.110021377947672	0.0720752066987719	0.0457512313055891	0	0	0
hsa-let-7e-5p	6.98308009235967	0.614569831695055	0.324929102211311	1.89139670011885	0.0585714087550188	0.304409190138541	modInact_vs_inactive	FALSE	3.38077547555064	5.00568254323744	12.5443602567775	2.03821964866418	1.8700085345902	2.39379289198306
hsa-let-7f-1-3p	0.124169912282316	0.302148759722422	1.35888152900182	0.222351068341012	0.82404060014595	NA	modInact_vs_inactive	NA	0.189571996798807	0.0703172258867229	0.0906015293029224	0	0	0
hsa-let-7f-2-3p	0.535943224109526	0.254971632921189	0.41756941669879	0.610608973561659	0.541458480541367	NA	modInact_vs_inactive	NA	0.562967178544217	0.332075127790766	0.657247096036116	0	0	0
hsa-let-7f-5p	1.9503997742703	0.629066987761191	0.333529517897403	1.88609089752199	0.0592827067196519	NA	modInact_vs_inactive	NA	1.75904607757738	1.56951174413415	2.45237407387957	0.666131998054403	0.636530157000117	1.04200792112999
hsa-let-7g-3p	3.07740478889559	0.525938687099622	0.339587069592477	1.54875946169204	0.121439553899968	NA	modInact_vs_inactive	NA	2.3099766982295	2.18894781239217	4.6158323665802	0	0.137942038942478	0.346295134676333
hsa-let-7g-5p	358.172757261355	1.35510020943365	0.382729976156498	3.5406168679078	NA	NA	modInact_vs_inactive	NA	34.4941464177296	19.0496433538754	978.337688580068	6.66131998054403	6.51773148790955	7.226916531029
hsa-let-7i-3p	0.311373207798076	0.559946540885212	0.532003106045683	1.05252494679444	0.292558771134951	NA	modInact_vs_inactive	NA	0.271688298467966	0.155245405749003	0.473583343965963	0	0	0
hsa-let-7i-5p	391.867982948106	1.11980843328976	0.370321520968158	3.02388159986535	NA	NA	modInact_vs_inactive	NA	31.3133216097893	22.2471670834055	1076.57402583239	6.51289660380276	6.70152993144205	9.08204304054169
