ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	modAct.x	inactive.x	modInact.x	modAct.y	inactive.y	modInact.y
has-miR-548o	0.456174797804644	0.877754662129326	0.765897598584836	1.14604702214914	0.251775696313726	NA	inactive_vs_modAct	NA	0.296	1.514	0.477	0	0.574	0
has-miR-548x	1.75776823233766	-1.37124891851773	0.764089928887395	-1.79461718663722	0.0727147129564508	NA	inactive_vs_modAct	NA	1.264	0.633	2.494	0	0.147	0
hsa-let-7a-2-3p	0.587834483239343	-0.298443807512381	0.632292205299319	-0.472002983764605	0.636924658845471	NA	inactive_vs_modAct	NA	0.597	0.834	0.482	0	0	0
hsa-let-7a-3p	443.827434357223	0.713591332589374	0.485205748157796	1.4706984311268	NA	NA	inactive_vs_modAct	NA	221.916	1893.003	629.875	17.358	18.785	15.422
hsa-let-7a-5p	13.6079112998423	0.312921600971877	0.396886495250143	0.788441039735186	0.430438773409335	0.852053462725229	inactive_vs_modAct	FALSE	11.328	37.524	12.751	6.12	9.438	5.333
hsa-let-7b-3p	0.434462254486377	1.54996654066038	0.971501494273628	1.59543402639772	0.110615212077501	NA	inactive_vs_modAct	NA	0.251	2.362	0.33	0	0	0
hsa-let-7b-5p	267.441761365015	1.22294956978593	0.50529932846551	2.4202477638349	NA	NA	inactive_vs_modAct	NA	146.015	1190.286	346.283	11.169	15.235	12.966
hsa-let-7c-3p	3.71076339359523	0.296498203953196	0.501078229196553	0.591720387510374	0.554037842037591	NA	inactive_vs_modAct	NA	3.684	8.509	3.589	0.198	1.459	0.277
hsa-let-7c-5p	19.928374473075	0.871908201844938	0.490801330581558	1.77649926256679	NA	NA	inactive_vs_modAct	NA	9.25	74.019	30.827	2.665	4.045	3.144
hsa-let-7d-3p	4.34898582159741	0.0994207901937372	0.557464007943411	0.178344769845356	0.858452221100404	0.960563232754789	inactive_vs_modAct	FALSE	3.129	4.52	6.962	1.419	1.395	0.787
hsa-let-7d-5p	52.1829517559646	0.933858262645028	0.504041136920746	1.85274215582897	NA	NA	inactive_vs_modAct	NA	29.425	192.001	73.188	3.78	4.767	3.247
hsa-let-7e-3p	0.0755607995236198	-0.288214695415806	2.13979445999349	-0.134692701006751	0.892854844352728	NA	inactive_vs_modAct	NA	0.103	0.074	0.052	0	0	0
hsa-let-7e-5p	6.1783070517625	0.789265259701947	0.462158946449394	1.70777881887951	0.0876773906955309	0.605938357861549	inactive_vs_modAct	FALSE	4.039	11.68	9.604	2.038	2.207	2.215
hsa-let-7f-1-3p	0.123155456027445	-0.563946861271597	2.04778822651493	-0.275393155390566	0.783014202072465	NA	inactive_vs_modAct	NA	0.15	0.015	0.124	0	0	0
hsa-let-7f-2-3p	0.57808125970411	0.134048906748101	0.59805233409708	0.224142435545351	0.822646473590854	NA	inactive_vs_modAct	NA	0.393	0.614	0.697	0	0	0
hsa-let-7f-5p	1.9797530512382	0.853032088763748	0.441280886008252	1.93308188913443	0.053226110762394	NA	inactive_vs_modAct	NA	1.573	3.883	2.027	0.612	2.297	0.67
hsa-let-7g-3p	2.99149285186497	0.844587357227806	0.43470026226462	1.94291890423031	0.0520259574474732	NA	inactive_vs_modAct	NA	2.801	10.098	1.959	0.099	1.194	0
hsa-let-7g-5p	297.425285916557	1.19880277063789	0.558875066016791	2.14502818882579	NA	NA	inactive_vs_modAct	NA	162.258	1282.181	395.086	8.124	7.465	5.362
hsa-let-7i-3p	0.303572907198458	0.957155184716542	0.76321458323634	1.25411018832714	0.209801957682221	NA	inactive_vs_modAct	NA	0.275	0.898	0.237	0	0.232	0
hsa-let-7i-5p	321.903004256757	0.467703085540583	0.540180880464497	0.865826804418566	NA	NA	inactive_vs_modAct	NA	162.693	1548.743	418.315	9.362	7.465	6.789
hsa-miR-1-2-5p:Novel	8.28538390434202	0.226562263718143	0.416197187477119	0.544362793731274	0.586191843705218	0.886453090771919	inactive_vs_modAct	FALSE	8.58	10.598	7.623	3.515	5.243	3.657
hsa-miR-1-3p	1.72289075496781	0.382647282056763	0.379934882851645	1.00713911601051	0.313867926127777	NA	inactive_vs_modAct	NA	1.519	3.427	1.703	0.832	1.237	1.2
hsa-miR-1-5p	11.5468873825794	-0.323998339568739	0.376808762039883	-0.859848210043601	0.389872720128225	0.823274127143128	inactive_vs_modAct	FALSE	11.512	16.441	11.64	6.132	8.371	6.358
hsa-miR-100-3p	0.220183097558238	-0.108369462124903	0.942438086073062	-0.114988415394432	0.908454304309542	NA	inactive_vs_modAct	NA	0.196	0.405	0.251	0	0	0
hsa-miR-100-5p	7.89020722981337	0.477205916195537	0.829030814054605	0.575619033822915	0.564872712809251	0.885173446817036	inactive_vs_modAct	FALSE	4.164	9.549	12.413	0.456	0.698	0.473
hsa-miR-101-2-5p	1.12395344785424	-0.608957478300515	0.539544686364328	-1.12865068212221	0.259045221543526	NA	inactive_vs_modAct	NA	1.299	1.212	0.977	0.215	0.574	0.489
hsa-miR-101-3p	3.02271617271758	-0.118008285949564	0.35282987703798	-0.334462282333481	0.738030748017442	NA	inactive_vs_modAct	NA	3.051	3.241	2.852	2.025	2.871	1.868
hsa-miR-101-5p	14.3529086078657	1.3736318782575	0.525117745978482	2.61585499400316	0.00890043470578217	0.27527773054312	inactive_vs_modAct	FALSE	14.205	61.733	7.245	1.514	1.632	1.109
hsa-miR-10226	2.54608336563343	0.833916420384152	0.434658298676594	1.9185563071571	0.0550405096666131	NA	inactive_vs_modAct	NA	2.179	5.028	2.522	1.479	3.702	1.104
hsa-miR-10226-3p:Novel	10.1409712901337	1.04725628920414	0.379315740815364	2.76090912270869	0.00576407129272739	0.226894806340996	inactive_vs_modAct	FALSE	8.513	27.197	9.309	5.739	8.06	5.498
hsa-miR-10392-3p	1.19986631529114	-0.58400901290226	0.579309916627728	-1.00811154123148	0.313400917643346	NA	inactive_vs_modAct	NA	1.407	0.881	1.215	0.371	0	0.526
hsa-miR-10392-5p	127.356110112059	-0.443242782677477	0.28477871005714	-1.55644634596646	0.119601991763611	0.632128505463747	inactive_vs_modAct	FALSE	121.89	76.164	157.889	91.465	44.935	82.311
hsa-miR-10393-3p	0.28961892812367	-0.332336814936782	1.15616247171783	-0.287448194407309	0.773769163641138	NA	inactive_vs_modAct	NA	0.166	0.506	0.396	0	0	0
hsa-miR-10393-5p	0.14051773501198	-0.16665947950223	2.82748148322251	-0.0589427306566433	0.952997723053507	NA	inactive_vs_modAct	NA	0.059	0.058	0.225	0	0	0
hsa-miR-10394-3p	2.40024862482343	-0.311666104463061	0.563722773111051	-0.552871232685972	0.580351587220899	NA	inactive_vs_modAct	NA	2.309	3.117	2.309	0.848	1.18	0.663
hsa-miR-10394-5p	0.698400524036964	0.454249710241564	0.807849219336132	0.562295165197849	0.573914931861395	NA	inactive_vs_modAct	NA	0.647	1.596	0.665	0	0	0
hsa-miR-10395-3p	1.08871208953527	0.7277151190596	0.72028753657055	1.01031196864021	0.312345848729338	NA	inactive_vs_modAct	NA	0.724	1.7	1.67	0	0.506	0
hsa-miR-10395-5p	2.44833895221124	0.169273325482087	0.366996243693192	0.461239940165705	0.644626469523707	NA	inactive_vs_modAct	NA	2.455	3.335	2.506	1.374	2.188	1.104
hsa-miR-10396a-3p	1.1286707917294	-0.694728989993811	0.485351294218535	-1.4313941227094	0.152317291876962	NA	inactive_vs_modAct	NA	1.291	0.998	0.994	0.612	0.574	0.235
hsa-miR-10396a-5p	4.25688779363776	0.137207091273594	0.418240607996319	0.328057794126967	0.742867964973272	0.931205490322959	inactive_vs_modAct	FALSE	4.138	4.124	5.075	2.319	2.387	2.207
hsa-miR-10396b-3p	1.19927988788162	-1.38158588192744	0.487605457452916	-2.83340939033861	0.00460543623275598	NA	inactive_vs_modAct	NA	1.374	0.573	1.194	0.915	0.298	0.265
hsa-miR-10396b-5p	3.24431223618012	0.244635612295508	0.502348795768847	0.486983574671642	0.626269971008564	NA	inactive_vs_modAct	NA	3.084	2.828	4.081	1.258	1.234	1.276
hsa-miR-10397-3p	20.4469668349052	-0.328608450738054	0.327281221395113	-1.00405531773954	0.315351950863057	0.778787422378539	inactive_vs_modAct	FALSE	17.714	18.987	27.089	12.851	13.097	11.906
hsa-miR-10397-5p	2.63906781168098	0.0720673693051225	0.557401550664443	0.129291655574362	0.897126873903371	NA	inactive_vs_modAct	NA	2.396	1.929	2.918	0.666	1.47	0.998
hsa-miR-10398-3p	1.34743516270333	0.462948986532508	0.3987194362981	1.16108958928801	0.245605468014133	NA	inactive_vs_modAct	NA	1.159	2.387	1.583	0.687	1.6	0.786
