ID	covariate	log2FC	padj	test
hsa-miR-12126-5p 	age	-1.191	1.027190340606850E-02	53_vs_37_53
hsa-miR-7851-3p	age	0.765	1.073401641039800E-02	53_vs_37_53
hsa-miR-3125-3p 	age	0.792	1.784959250308610E-02	53_vs_37_53
hsa-miR-320d	age	-0.936	1.784959250308610E-02	53_vs_37_53
hsa-miR-8074	age	-1.131	1.840729109478770E-02	53_vs__37
hsa-miR-6124-3p 	age	-0.510	1.922781976641690E-02	53_vs_37_53
hsa-miR-1231	age	-0.648	2.716575566854560E-02	37_53_vs__37
hsa-miR-4276-3p 	age	-0.739	2.716575566854560E-02	37_53_vs__37
hsa-miR-4487	age	0.571	2.716575566854560E-02	37_53_vs__37
hsa-miR-4505-3p 	age	0.778	2.721504768683420E-02	53_vs_37_53
hsa-miR-550a-3-5p	age	0.985	2.721504768683420E-02	53_vs_37_53
hsa-miR-12128	age	-0.783	3.007425085349120E-02	53_vs__37
hsa-miR-3169	age	0.802	3.007425085349120E-02	53_vs__37
hsa-miR-4276-3p 	age	-0.792	3.007425085349120E-02	53_vs__37
hsa-miR-1260a-3p 	age	-0.767	3.050358582470320E-02	53_vs__37
hsa-miR-9898-5p 	age	0.595	3.136487104621780E-02	53_vs_37_53
hsa-miR-7843-5p	age	-0.837	3.314205077026740E-02	53_vs__37
hsa-miR-638	age	-0.990	3.427743720441560E-02	53_vs__37
hsa-miR-3136-5p	age	0.737	3.608625616272440E-02	53_vs_37_53
hsa-miR-2278-3p 	age	0.782	4.155097646831130E-02	53_vs_37_53
hsa-miR-3619-3p	bmi	-2.626	3.719593057154700E-05	underweight_vs_normal
hsa-miR-181c-3p	bmi	-1.193	6.617438434512020E-05	overweight_vs_normal
hsa-miR-124-5p	bmi	-1.068	1.000828015483670E-04	overweight_vs_normal
hsa-miR-6511b-5p	bmi	1.095	1.126279111929810E-04	underweight_vs_normal
hsa-miR-8075	bmi	-1.324	7.249937592829870E-04	overweight_vs_normal
hsa-miR-3682-3p	bmi	-0.982	8.039104304493820E-04	overweight_vs_normal
hsa-miR-4466-3p 	bmi	-1.007	8.039104304493820E-04	overweight_vs_normal
hsa-miR-8075-5p 	bmi	-1.306	8.039104304493820E-04	overweight_vs_normal
hsa-miR-375-3p	bmi	-1.263	1.092668190142070E-03	overweight_vs_normal
