ID	Average_no	Average_low	Average_high	Median_no	Median_low	Median_high	log2FoldChange	pvalue	padj	test	treshold	samples	biospecimen
hsa-let-7a-2-3p	0.880274117343536	1.11574886305479	0.740830365183304	0	0	0	0.0795409851821767	0.856077440202533	NA	low_vs_no	NA	both	stool
hsa-let-7a-3p	2410.12774518987	327.577493985199	148.711458458011	35.2495056210311	26.1327959211281	24.4960104976148	0.234892942218792	0.50451982171958	0.875511357644057	low_vs_no	FALSE	both	stool
hsa-let-7a-5p	13.9879654982402	18.7686640108159	16.3671727791524	8.79442696945472	10.4697865508425	8.18610438203262	0.687895324168672	0.0180885814409821	0.288481686774283	low_vs_no	FALSE	both	stool
hsa-let-7b-3p	0.571090550770247	0.675381528405909	0.276069083084765	0	0	0	0.495337771848838	0.499992358243908	NA	low_vs_no	NA	both	stool
hsa-let-7b-5p	1294.03939296476	197.305762142453	138.79164196687	18.192942192875	15.2830067761432	12.3158940448837	0.249800930937432	0.510121745760514	0.876530500613907	low_vs_no	FALSE	both	stool
hsa-let-7c-3p	10.745444727268	10.1213113381914	4.59657489183655	2.81996044968249	2.4803690205841	0.824239449759353	0.471719860145014	0.193755611678271	NA	low_vs_no	NA	both	stool
hsa-let-7c-5p	107.276226819822	15.5136600677981	9.53660279129647	4.85075604112673	4.32609377704089	3.0206626676599	0.271877202721625	0.439841818646368	0.869425077504742	low_vs_no	FALSE	both	stool
hsa-let-7d-3p	15.958272848856	4.96517565065555	3.65195040136961	2.71573421058554	2.11596199662505	0.759088296125295	-0.158791154616848	0.699795480183366	NA	low_vs_no	NA	both	stool
hsa-let-7d-5p	279.986305890342	35.9126892973319	27.7825416339709	7.48162013198135	5.53124083475384	4.63914909214468	0.103441015492215	0.773577454542904	0.950107853777561	low_vs_no	FALSE	both	stool
hsa-let-7e-3p	0.287813791431522	0.148830991514827	0.0761600716055379	0	0	0	-0.22912043375674	0.841049143897183	NA	low_vs_no	NA	both	stool
hsa-let-7e-5p	26.5676275946508	5.59375952423097	5.78441607960125	2.74173167541945	2.99602264231287	3.07497757922427	0.0698704488373597	0.835072369906775	NA	low_vs_no	NA	both	stool
hsa-let-7f-1-3p	0.0698307326474043	0.099349186739519	0.256682075831131	0	0	0	0.498764862871974	0.72000705567068	NA	low_vs_no	NA	both	stool
hsa-let-7f-2-3p	1.34619595486848	0.597414887943151	0.505274040260497	0.640350707874204	0	0	-0.54138457051402	0.250299183821257	NA	low_vs_no	NA	both	stool
hsa-let-7f-5p	2.21173040659497	2.70668327028508	2.25698394934915	1.14225928146933	1.11378277046119	0.773191515357446	0.49530574206555	0.202743075532886	NA	low_vs_no	NA	both	stool
hsa-let-7g-3p	6.37498498556727	7.28730379310679	3.96077490690322	2.53528207460009	2.10973988850192	0.468659931408837	-0.0313905900506665	0.921653307523067	NA	low_vs_no	NA	both	stool
hsa-let-7g-5p	1503.55122900022	207.334300492183	150.116235873082	11.0514590776191	8.4365144057457	6.31916911482171	0.207890644412702	0.629954752687352	0.90588742506314	low_vs_no	FALSE	both	stool
hsa-let-7i-3p	0.317053715599911	0.530397932423221	0.242813032724783	0	0	0	0.671992289771917	0.242895161173761	NA	low_vs_no	NA	both	stool
hsa-let-7i-5p	1612.9896074674	235.415235579699	166.453122308456	12.278656673546	10.3298895219947	8.7970671749169	0.0102669265961122	NA	NA	low_vs_no	NA	both	stool
hsa-miR-1-2-5p:Novel	8.5724949971239	9.84697775369472	10.5842769247144	4.58562732757026	4.08093189121576	4.88334816881176	0.491706739172363	0.15520636567501	0.661650647355651	low_vs_no	FALSE	both	stool
hsa-miR-1-3p	2.5927499703474	2.65615133730882	1.87972794816723	1.87040503299534	1.93129695800727	1.22775916887217	0.057747319848479	0.840777989449589	NA	low_vs_no	NA	both	stool
hsa-miR-1-5p	9.39313904365625	14.1115853572901	16.240181765592	7.11024719732757	6.54006852717883	8.56668977891201	0.34619363918959	0.280027479971525	0.768621421286827	low_vs_no	FALSE	both	stool
hsa-miR-100-3p	0.307363875633655	0.333617982940617	0.257951242669444	0	0	0	0.218213354313716	0.753804332057841	NA	low_vs_no	NA	both	stool
hsa-miR-100-5p	31.1386912935888	5.81793941332476	5.89956620613682	1.92105212362261	0.804538725035916	0.74245151299617	-0.329218319109427	0.560186000230691	NA	low_vs_no	NA	both	stool
hsa-miR-101-2-5p	0.953291503418261	1.49526122065468	1.55361628931523	0.638320686808693	0.694767614045711	0	1.24274722756118	0.00175690869696894	NA	low_vs_no	NA	both	stool
hsa-miR-101-3p	3.03547057024674	3.75853588132875	3.84655244525942	2.9498104894896	2.66620364626327	2.27726488837588	0.67369917544632	0.0136263640395824	NA	low_vs_no	NA	both	stool
hsa-miR-101-5p	24.9117505228711	12.6435927498131	16.5816558755155	2.63114071575986	2.24244641689489	1.70534338217938	0.0557743720555696	0.884667031793005	0.983554091837175	low_vs_no	FALSE	both	stool
hsa-miR-10226	4.38583009987005	4.80891114562945	2.50305257974944	2.28331985479206	2.25974707387603	1.51033133382995	0.200758557668633	0.550067401001668	NA	low_vs_no	NA	both	stool
hsa-miR-10226-3p:Novel	13.3779641509011	15.6006505652616	12.2560355157987	11.4016097682927	6.66668931965576	7.50742042185947	0.1659353484945	0.612013152958909	0.904332288806968	low_vs_no	FALSE	both	stool
hsa-miR-10392-3p	1.49718737385613	1.76741379775037	1.13386744337573	1.16331148185464	0.627941222224742	0.295403095824552	-0.34591900431709	0.415683882991903	NA	low_vs_no	NA	both	stool
hsa-miR-10392-5p	250.309804005447	135.092579590011	150.305367097523	114.327550602911	83.1603586324649	84.937078795723	-0.211200931860127	0.384254373362902	0.83631834202514	low_vs_no	FALSE	both	stool
hsa-miR-10393-3p	0.23544008958034	0.267949154715589	0.419055021896268	0	0	0	-0.319392438841424	0.698413429706672	NA	low_vs_no	NA	both	stool
hsa-miR-10393-5p	0.109102258483609	0.115281048340619	0.242546206339825	0	0	0	-0.302480140260648	0.853595479955734	NA	low_vs_no	NA	both	stool
hsa-miR-10394-3p	1.94024682484834	2.58397077550127	3.5882830633284	0.640350707874204	1.10373256995325	1.24757175467601	0.662651878166432	0.112594230200571	NA	low_vs_no	NA	both	stool
hsa-miR-10394-5p	0.597015327359404	1.12782273024602	0.606128338346739	0	0	0	0.270967541782225	0.644180124975652	NA	low_vs_no	NA	both	stool
hsa-miR-10395-3p	4.57808154270493	1.30048833766706	0.82710901019506	0.376051292394871	0	0	-0.164591959078495	0.742147238444566	NA	low_vs_no	NA	both	stool
hsa-miR-10395-5p	8.34468246649142	7.53678879189211	2.1905251092887	3.74081006599067	3.21195333832541	1.23027316359437	-0.363040150261949	0.279862076048772	NA	low_vs_no	NA	both	stool
hsa-miR-10396a-3p	1.17921173617013	1.45737427173103	1.42750823474593	0.850713284022518	0.795386327434681	0.744191307457511	0.291274439077713	0.35035915215035	NA	low_vs_no	NA	both	stool
hsa-miR-10396a-5p	5.02339315748366	6.21017831120487	5.04508996809174	3.63217042002343	3.0834221836439	2.78691402753063	0.734032347878131	0.0290938175366485	NA	low_vs_no	NA	both	stool
hsa-miR-10396b-3p	2.15192259312421	1.46514687105282	1.26698358886806	1.09388418420424	0.934887126160811	0.542434106172183	-0.0517234267418275	0.869154902143302	NA	low_vs_no	NA	both	stool
hsa-miR-10396b-5p	3.68122613009463	4.95497955099596	3.74678572605549	1.8192942192875	1.86526330152386	1.84540974539156	0.861365491999899	0.0303116251129543	NA	low_vs_no	NA	both	stool
hsa-miR-10397-3p	61.0322272937072	21.9824895129419	19.3021869210331	17.0218849815651	14.2154860933092	15.5717977792159	-0.543844008326257	0.0478665360995528	0.453158896369314	low_vs_no	FALSE	both	stool
hsa-miR-10397-5p	3.52364557334528	3.46854511052283	2.94385496740221	1.57344724686853	1.26236368552234	1.41561797992872	0.117053940356091	0.782161948070599	NA	low_vs_no	NA	both	stool
